ID,Type,Age (Years),Age (Months),Date of Birth,Number of Teats
33919125,Cow,8.0,2.0,2016-07-19,4.0
48952993,Cow,10.0,3.0,2014-06-20,3.0
84291962,Cow,5.0,10.0,2018-11-21,3.0
15574685,Cow,10.0,6.0,2014-03-22,3.0
68580017,Cow,3.0,8.0,2021-01-19,3.0
47406050,Cow,6.0,0.0,2018-09-17,3.0
93945900,Cow,9.0,10.0,2014-11-22,3.0
34692818,Cow,3.0,3.0,2021-06-18,4.0
54107969,Cow,8.0,7.0,2016-02-20,3.0
49058709,Cow,0.0,9.0,2023-12-20,4.0
10724922,Cow,10.0,2.0,2014-07-20,4.0
94832211,Cow,0.0,11.0,2023-10-21,4.0
83227089,Cow,1.0,0.0,2023-09-16,4.0
17576388,Cow,0.0,0.0,2024-09-15,4.0
56613940,Cow,7.0,3.0,2017-06-19,3.0
24827134,Goat,,,,
36452976,Goat,,,,
